-----------------------------------New Session-----------------------------------
2021-04-09 15:37:01,503 | INFO | discord.client | logging in using static token
2021-04-09 17:43:48,895 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:50,172 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:51,490 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:51,743 | WARNING | discord.http | We are being rate limited. Retrying in 3.23 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:43:52,797 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:54,095 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:55,365 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:56,655 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:56,914 | WARNING | discord.http | We are being rate limited. Retrying in 3.27 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:43:57,956 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:59,221 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:00,563 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:01,885 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:02,164 | WARNING | discord.http | We are being rate limited. Retrying in 3.23 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:44:03,157 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:04,488 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:05,803 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:07,118 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:07,360 | WARNING | discord.http | We are being rate limited. Retrying in 3.26 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:44:08,439 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:09,761 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:11,063 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:12,370 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:13,205 | WARNING | discord.http | We are being rate limited. Retrying in 2.65 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:44:13,706 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:15,031 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:16,323 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:17,639 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:17,785 | WARNING | discord.http | We are being rate limited. Retrying in 3.28 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:44:18,931 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:20,202 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:21,529 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:22,806 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:23,040 | WARNING | discord.http | We are being rate limited. Retrying in 3.25 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:44:24,128 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:25,438 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:26,736 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:28,036 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:28,275 | WARNING | discord.http | We are being rate limited. Retrying in 3.24 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:44:29,368 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:30,667 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:31,989 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:33,306 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:33,484 | WARNING | discord.http | We are being rate limited. Retrying in 3.27 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:44:34,589 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:36,685 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:37,965 | INFO | discord | Spam to id: <@!430677550600028161>
